Characterized BldgSF,Material type,Total Pounds/Day,LBS/DAY/SF,NZPBldgType, BldgType Installation Total SF , BldgTypeLb/DaySF 
"20,326",Aluminum,1.01,0.00005,DFAC,123698,6.138145689
"49,600",Aluminum,0.27,0.000006,GIB,599460,3.304055465
"60,684",Aluminum,0.43,0.000007,Office-Small,1031820,7.254171519
"15,835",Corr. Cardboard,0.85,0.000054,CDC,725754,39.10312353
"50,112",Corr. Cardboard,0.7,0.000014,PFF,213529,2.982724697
"57,108",Corr. Cardboard,9.99,0.000175,UEPH,2421850,423.5578022
"29,624",Corr. Cardboard,1.36,0.000046,Training Barracks,192635,8.819309638
"110,953",Corr. Cardboard,16.02,0.000144,PX,256091,36.96760694
"6,679",Corr. Cardboard,0,0,Office-Small,1031820,0
"20,326",Corr. Cardboard,2.15,0.000106,DFAC,123698,13.10072668
"49,600",Corr. Cardboard,0.07,0.000001,GIB,599460,0.826013866
"60,684",Corr. Cardboard,1,0.000016,Office-Small,1031820,17.00316393
"15,835",Food,20.13,0.001271,CDC,725754,922.6583382
"50,112",Food,1.65,0.000033,PFF,213529,7.030079742
"57,108",Food,81.06,0.001419,UEPH,2421850,3437.578534
"29,624",Food,31.65,0.001068,Training Barracks,192635,205.7838916
"110,953",Food,408.36,0.003681,PX,256091,942.5442428
"6,679",Food,6.14,0.000919,Office-Small,1031820,948.2506284
"20,326",Food,818.57,0.040272,DFAC,123698,4981.563024
"49,600",Food,3.69,0.000074,GIB,599460,44.60474878
"60,684",Food,5.55,0.000091,Office-Small,1031820,94.30422975
"15,835",Glass,1.06,0.000067,CDC,725754,48.56096517
"50,112",Glass,0.25,0.000005,PFF,213529,1.06525882
"57,108",Glass,9.41,0.000165,UEPH,2421850,398.9164681
"29,624",Glass,2.26,0.000076,Training Barracks,192635,14.6988494
"110,953",Glass,4.93,0.000044,PX,256091,11.38251276
"6,679",Glass,0,0,Office-Small,1031820,0
"20,326",Glass,2.16,0.000106,DFAC,123698,13.15316933
"49,600",Glass,0.41,0.000008,GIB,599460,4.956083198
"60,684",Glass,0.67,0.000011,Office-Small,1031820,11.39941239
"15,835",Mixed Paper,1.06,0.000067,CDC,725754,48.56096517
"50,112",Mixed Paper,0.29,0.000006,PFF,213529,1.240602307
"57,108",Mixed Paper,1.06,0.000019,UEPH,2421850,44.93566711
"29,624",Mixed Paper,1.58,0.000053,Training Barracks,192635,10.28919458
"110,953",Mixed Paper,1.85,0.000017,PX,256091,4.268442285
"6,679",Mixed Paper,1.08,0.000162,Office-Small,1031820,167.3383462
"20,326",Mixed Paper,3.17,0.000156,DFAC,123698,19.29131502
"49,600",Mixed Paper,0.34,0.000007,GIB,599460,4.130069332
"60,684",Mixed Paper,0.55,0.000009,Office-Small,1031820,9.326791953
"15,835",Newspaper,0,0,CDC,725754,0
